公司名称,主营业务,公司地址,注册资本,公司简介,固定电话,法定代表人,经理手机,电子邮件,获取报价,邮政编码,法人名称,简称,主要经营产品,经营范围,营业执照号码,发证机关,经营状态,经营模式,成立时间,职员人数,公司官网,所属分类,类型
四川石油管理局川西南矿区, 石油，天然气开采，硫磺，炭黑，汽车客货运输，汽车，机械修理，建材，机电，配件，预制构件，油气田工程设...,地址： 毛家坝,成立时间：1951-01-01,四川石油管理局川西南矿区，办公室地址位于千年盐都、南国灯城自贡，毛家坝，我单位主要提供石油天然气钻井勘探、汽车修理、CNG改装、维修；硫磺、石油勘探开发；天然气销售；住宿、茶坊、浴足、中餐、快餐工程设计；机械制造、修理；金属材料、机电产品及配件、电器安装、采购、供应；销售化工产品、碳黑、橡胶制品采购及供应生产建设设计咨询；物业管理。,(0813)4614252 未核实，仅供参考,,,,让卖家联系我,643000,四川石油管理局川西南矿区,石油管理局川西南矿区,石油，天然气开采，硫磺，炭黑，汽车客货运输，汽车，机械修理，建材，机电，配件，预制构件，油气田工程设计，小型电器安装，机电产品，金属材料，五交化，石油产品，橡胶制品，采购,石油天然气钻井勘探、汽车修理、CNG改装、维修；硫磺、石油勘探开发；天然气销售；住宿、茶坊、浴足、中餐、快餐工程设计；机械制造、修理；金属材料、机电产品及配件、电器安装、采购、供应；销售化工产品（危化品除外）、碳黑、橡胶制品采购及供应生产建设设计咨询；物业管理（以上范围国家有专项规定的除外）。,5.10E+14,自贡市市场监督管理局,存续,,1951年1月1日,2943人,,天然原油和天然气开采,单位
上海能信石油科技服务有限公司, 石油化工及计算机网络工程专业领域内的“四技”服务，石油设备及配件，燃料油（除危险品），计算机软硬件及...,上海市静安区胶州路397号5幢221室,成立时间：2008-05-27,上海能信石油科技服务有限公司，办公室地址位于中国国际经济、金融、贸易、航运中心，魔都上海，上海市静安区胶州路397号5幢221室，我公司主要提供石油化工及计算机网络工程专业领域内的“四技”服务，石油设备及配件，燃料油，计算机软硬件及网络设备，日用百货，针纺织品，建筑材料，建筑装潢，玩具，家用电器，办公用品，从事货物及技术的进出口业务。,,,18017886765 未核实，仅供参考，删除号码,149122721@qq.com,让卖家联系我,200000,上海能信石油科技服务有限公司,能信石油,,石油化工及计算机网络工程专业领域内的“四技”服务，石油设备及配件，燃料油（除危险品），计算机软硬件及网络设备，日用百货，针纺织品，建筑材料，建筑装潢，玩具，家用电器，办公用品，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,3.10E+14,静安区市场监管局,存续,,2008年5月27日,,,天然原油和天然气开采,公司
大港油田集团有限责任公司, 天然原油、天然气勘探、开采、加工及制品,天津市滨海新区大港三号院 - ,358591万人民币 (万元),大港油田集团有限责任公司，办公室地址位于环渤海地区经济中心天津，天津市滨海新区大港三号院，我公司主要提供天然原油、天然气勘探、开采、加工及制品；油气伴生品及综合利用；石油、天气技术咨询及服务；石油钻探设备、工具、配件制造、土木工程建筑；生产、生活资料的供应、加工、制造、维修、销售；生产、生活、文化设施的经营服务；设备租赁、技术、劳务服务、信息服务；工程监理；承包境外化工、石油行业工程和境内国际招标工程...,022-25971708 未核实，仅供参考,,,dgyt@petrochina.com.cn,让卖家联系我,300280,大港油田集团有限责任公司,大港油田集团,天然原油、天然气勘探、开采、加工及制品,天然原油、天然气勘探、开采、加工及制品；油气伴生品及综合利用；石油、天气技术咨询及服务；石油钻探设备、工具、配件制造、土木工程建筑；生产、生活资料的供应、加工、制造、维修、销售；生产、生活、文化设施的经营服务；设备租赁、技术、劳务服务、信息服务；工程监理；承包境外化工、石油行业工程和境内国际招标工程...,1.20E+14,天津市滨海新区市场监督管理局,存续,,1995年11月24日,4000人,http://www.dgtx.com.cn,天然原油和天然气开采,公司
吉林省油田英台采油厂多种经营公司, 土木建筑及锅炉维修。安装。筑路,大屯镇 - ,50(万元) (万元),吉林省油田英台采油厂多种经营公司，办公室地址位于大型商品粮基地市白城，大屯镇，我公司主要提供土木建筑及锅炉维修。安装。筑路,(0436) 未核实，仅供参考,,,,让卖家联系我,137319,吉林省油田英台采油厂多种经营公司,油田英台采油,土木建筑及锅炉维修。安装。筑路,未知,,,在业,,2000年3月10日,,,天然原油和天然气开采,
吉林省油田红岗采油厂多种经营总公司, 建筑材料、五金、交电、化工、,两家子镇 - ,11(万元) (万元),吉林省油田红岗采油厂多种经营总公司，办公室地址位于大型商品粮基地市白城，两家子镇，我公司主要提供建筑材料、五金、交电、化工、,(0436)5352113 未核实，仅供参考,,,,让卖家联系我,131300,吉林省油田红岗采油厂多种经营总公司,油田红岗采油,建筑材料、五金、交电、化工、,未知,,,在业,,1998年4月10日,20人,,天然原油和天然气开采,
吉林省油田管理局销售公司洮儿河加油站, 原油，汽油，柴油，液化气，石腊，石油副产品，对外代料加工,洮白公路１７公里 - ,,吉林省油田管理局销售公司洮儿河加油站，办公室地址位于大型商品粮基地市白城，洮白公路１７公里，我公司主要提供原油，汽油，柴油，液化气，石腊，石油副产品，对外代料加工,(0436)3821321 未核实，仅供参考,,,,让卖家联系我,137000,吉林省油田管理局销售公司洮儿河加油站,油田管理局销售公司洮儿河加油站,原油，汽油，柴油，液化气，石腊，石油副产品，对外代料加工,未知,,,在业,,,,,天然原油和天然气开采,
镇赉县到保镇油田开发服务有限公司, 筑路土方工程。挖掘水井。中介服务,到保镇 - ,10(万元) (万元),镇赉县到保镇油田开发服务有限公司，办公室地址位于大型商品粮基地市白城，到保镇，我公司主要提供筑路土方工程。挖掘水井。中介服务,(0436)7731415 未核实，仅供参考,,,,让卖家联系我,137319,镇赉县到保镇油田开发服务有限公司,到保镇油田开发服务,筑路土方工程。挖掘水井。中介服务,未知,,,在业,,2000年8月9日,,,天然原油和天然气开采,
大安市永达油田开发有限责任公司, 油田开发、,大安港 - ,1000(万元) (万元),大安市永达油田开发有限责任公司，办公室地址位于大型商品粮基地市白城，大安港，我公司主要提供油田开发、,(0436) 未核实，仅供参考,,,,让卖家联系我,131300,大安市永达油田开发有限责任公司,永达油田开发,油田开发、,未知,,,在业,,2000年5月30日,30人,,天然原油和天然气开采,
大安市油田开发公司两家经销处, 原料油（不含危险品）、,地址： 两家镇,3(万元) (万元),大安市油田开发公司两家经销处，办公室地址位于大型商品粮基地市白城，两家镇，我经销处主要提供原料油、,(0436)6232157 未核实，仅供参考,,,,让卖家联系我,131301,大安市油田开发公司两家经销处,油田开发公司两家经销处,原料油（不含危险品）、,未知,,,在业,,2000年9月26日,8人,,天然原油和天然气开采,
吉林油田工行大安采油厂分理处, 主营：金融业务,地址： 两家镇,成立时间：1998-10-20,吉林油田工行大安采油厂分理处，办公室地址位于大型商品粮基地市白城，两家镇，我工厂主要提供主营：金融业务,04386232077 未核实，仅供参考,,,,让卖家联系我,131302,吉林油田工行大安采油厂分理处,油田工行大安采油,主营：金融业务,未知,,,在业,,1998年10月20日,10人,,天然原油和天然气开采,
大安市油田开发公司吉安物资经销处, 原料油,地址： 两家镇,3(万元) (万元),大安市油田开发公司吉安物资经销处，办公室地址位于大型商品粮基地市白城，两家镇，我经销处主要提供原料油,(0436)6232090 未核实，仅供参考,,,,让卖家联系我,131301,大安市油田开发公司吉安物资经销处,油田开发公司吉安物资经销处,原料油,未知,,,在业,,1999年3月25日,8人,,天然原油和天然气开采,
大安市油田石油机械制造厂, 机械加工制造、,地址： 嫩江街,50(万元) (万元),欢迎来到大安市油田石油机械制造厂，一家自2001年05月29日起就在大型商品粮基地市白城扎根的天然原油和天然气开采制造业企业。坐落于嫩江街，我们以机械加工制造、为核心业务，注册资本达50(万元)，成立以来，油田石油机械已有23年的发展历程。我工厂不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 带领着一支由和经验丰富的10000名工程师组成的团队，致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0436) 未核实，仅供参考,,,,让卖家联系我,131300,大安市油田石油机械制造厂,油田石油机械,机械加工制造、,未知,,,在业,,2001年5月29日,10000人,,天然原油和天然气开采,
大安市油田机械厂, 主营：石油配件,地址： 大安北,,欢迎来到大安市油田机械厂，一家自起就在大型商品粮基地市白城扎根的天然原油和天然气开采制造业企业。坐落于大安北，我们以主营：石油配件为核心业务，成立以来，油田机械我工厂不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0436) 未核实，仅供参考,,,,让卖家联系我,131300,大安市油田机械厂,油田机械,主营：石油配件,未知,,,在业,,,,,天然原油和天然气开采,
大安市石油开采站, 主营；石油开采,地址： 临江街,,大安市石油开采站，办公室地址位于大型商品粮基地市白城，临江街，我单位主要提供主营；石油开采,(0436)5223358 未核实，仅供参考,,,,让卖家联系我,131300,大安市石油开采站,石油开采站,主营；石油开采,未知,,,在业,,,,,天然原油和天然气开采,
大安油田开发服务总公司, 原油开发、,长白路 - ,41(万元) (万元),大安油田开发服务总公司，办公室地址位于大型商品粮基地市白城，长白路，我公司主要提供原油开发、,(0436) 未核实，仅供参考,,,,让卖家联系我,131300,大安油田开发服务总公司,大安油田开发服务总公司,原油开发、,未知,,,在业,,1988年8月10日,128人,,天然原油和天然气开采,
保定保兴油田固井建筑材料制造有限公司, 油田固井材料生产、销售，货物运输。,高保路（华北石油转运站院内） - ,50(万元) (万元),保定保兴油田固井建筑材料制造有限公司，办公室地址位于直隶总督署保定，高保路（华北石油转运站院内），我公司主要提供油田固井材料生产、销售，货物运输。,0312-2139007 未核实，仅供参考,,,,让卖家联系我,71000,保定保兴油田固井建筑材料制造有限公司,保兴油田固井建筑材料,油田固井材料生产、销售，货物运输。,未知,,,在业,,,,,天然原油和天然气开采,
华北油田徐水凯达石油产品销售有限公司, 汽油，柴油，润滑油，溶剂油 轻质油,河北省保定市徐水县漕河车站 - ,60(万元) (万元),华北油田徐水凯达石油产品销售有限公司，办公室地址位于直隶总督署保定，河北省保定市徐水县漕河车站，我公司主要提供汽油，柴油，润滑油，溶剂油 轻质油,0312-8503728 未核实，仅供参考,,,,让卖家联系我,72550,华北油田徐水凯达石油产品销售有限公司,华北油田徐水凯达石油产品销售,汽油，柴油，润滑油，溶剂油 轻质油,未知,,,在业,,,,,天然原油和天然气开采,
涿州市华北油田石油产品销售有限公司, 汽油、柴油、润滑油、化工产品、批发兼零售。,河北省保定市涿州市开发区１２８号,成立时间：1999-01-26,涿州市华北油田石油产品销售有限公司，办公室地址位于直隶总督署保定，河北省保定市涿州市开发区１２８号，我公司主要提供汽油、柴油、润滑油、化工产品、批发兼零售。,0312-3853777 未核实，仅供参考,,,,让卖家联系我,72750,涿州市华北油田石油产品销售有限公司,华北油田石油产品销售,汽油、柴油、润滑油、化工产品、批发兼零售。,未知,,,在业,,1999年1月26日,25人,,天然原油和天然气开采,
云南省保山地区农村能源工作站, 农村能源建设，沼气，改灶节材，微水电，太阳能,地址： 保山市永昌镇公园街２号,,云南省保山地区农村能源工作站，办公室地址位于留下永历帝、徐悲鸿等人的足迹--保山，保山市永昌镇公园街２号，我单位主要提供农村能源建设，沼气，改灶节材，微水电，太阳能,(0875)2120750 未核实，仅供参考,,,,让卖家联系我,678000,云南省保山地区农村能源工作站,农村能源工作站,农村能源建设，沼气，改灶节材，微水电，太阳能,未知,,,在业,,,,,天然原油和天然气开采,
胜利油田东方经贸总公司新疆巴州公司, 石油专用设备及配件、仪器仪表、机电化工、橡胶制品、水暖配件、土特产品、机电维修、,铁门关路 - ,,胜利油田东方经贸总公司新疆巴州公司，办公室地址位于华夏第一州巴音郭楞，铁门关路，我公司主要提供石油专用设备及配件、仪器仪表、机电化工、橡胶制品、水暖配件、土特产品、机电维修、,(0996) 未核实，仅供参考,,,,让卖家联系我,841000,胜利油田东方经贸总公司新疆巴州公司,胜利油田东方经贸总公司新疆巴州公司,石油专用设备及配件、仪器仪表、机电化工、橡胶制品、水暖配件、土特产品、机电维修、,未知,,,在业,,,,,天然原油和天然气开采,
河南油田建安公司塔里木分公司, 石油设备安装,铁克其乡 - ,,河南油田建安公司塔里木分公司，办公室地址位于华夏第一州巴音郭楞，铁克其乡，我公司主要提供石油设备安装,(0996) 未核实，仅供参考,,,,让卖家联系我,841000,河南油田建安公司塔里木分公司,油田建安公司塔里木分公司,石油设备安装,未知,,,在业,,,,,天然原油和天然气开采,
轮台县成成油田技术服务有限公司, 油井高压注水、机泵修理、抽油机修理、输油管道抢修维修、井站维护作业、采输技术服务、油田机械配件销售,塔河油田采油三对路北１００米处,300万 (万元),轮台县成成油田技术服务有限公司，办公室地址位于华夏第一州巴音郭楞，塔河油田采油三对路北１００米处，我公司主要提供许可经营项目：无。一般经营项目：: 机泵修理；抽油机修理；输油管道抢修维修；井站维护作业；注、采、输油技术服务；油田机械配件及其它材料销售。***。,(0996)2207285 未核实，仅供参考,,,,让卖家联系我,841600,轮台县成成油田技术服务有限公司,成成油田技术服务,油井高压注水、机泵修理、抽油机修理、输油管道抢修维修、井站维护作业、采输技术服务、油田机械配件销售,许可经营项目：无。一般经营项目：（国家法律、行政法规有专项审批的项目除外）: 机泵修理；抽油机修理；输油管道抢修维修；井站维护作业；注、采、输油技术服务；油田机械配件及其它材料销售。***。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91652822748682603Y,轮台县市场监督管理局,存续,,2003年5月21日,20人,,天然原油和天然气开采,公司
江汉石油管理局油田建设工程公司巴州分公司, 化工、石油、石油化工引进装置及工程施工、建筑施工、电力工程施工、通信工程施工,石化大道梨香小区２号楼３单元３０３室,500(万元) (万元),江汉石油管理局油田建设工程公司巴州分公司，办公室地址位于华夏第一州巴音郭楞，石化大道梨香小区２号楼３单元３０３室，我公司主要提供化工、石油、石油化工引进装置及工程施工、建筑施工、电力工程施工、通信工程施工,(0996)2201797 未核实，仅供参考,,,,让卖家联系我,841000,江汉石油管理局油田建设工程公司巴州分公司,江汉石油管理局油田建设工程公司巴州分公司,化工、石油、石油化工引进装置及工程施工、建筑施工、电力工程施工、通信工程施工,未知,,,在业,,2002年1月31日,80人,,天然原油和天然气开采,
河南油田石油管道安装公司巴州分公司, 安装,人民东路 - ,150(万元) (万元),河南油田石油管道安装公司巴州分公司，办公室地址位于华夏第一州巴音郭楞，人民东路，我公司主要提供安装,(0996)2016166 未核实，仅供参考,,,,让卖家联系我,841000,河南油田石油管道安装公司巴州分公司,油田石油管道安装公司巴州分公司,安装,未知,,,在业,,1999年5月28日,12人,,天然原油和天然气开采,
胜利油田钻井设备安装公司驻库尔勒办事处, 小型石油工程、单项工程施工、设备安装,天山路乌喀公路南侧 - ,30(万元) (万元),胜利油田钻井设备安装公司驻库尔勒办事处，办公室地址位于华夏第一州巴音郭楞，天山路乌喀公路南侧，我公司主要提供小型石油工程、单项工程施工、设备安装,(0996)2039808 未核实，仅供参考,,,,让卖家联系我,841000,胜利油田钻井设备安装公司驻库尔勒办事处,胜利油田钻井设备安装公司驻库尔勒办事处,小型石油工程、单项工程施工、设备安装,未知,,,在业,,1998年6月11日,5人,,天然原油和天然气开采,
华北油田测试公司南疆分公司测试综合服务部, 住宿、日用百货、汽车配件、五金交电、建材、石油专用测试配件、测试服务,西站 - ,,华北油田测试公司南疆分公司测试综合服务部，办公室地址位于华夏第一州巴音郭楞，西站，我公司主要提供住宿、日用百货、汽车配件、五金交电、建材、石油专用测试配件、测试服务,(0996) 未核实，仅供参考,,,,让卖家联系我,841008,华北油田测试公司南疆分公司测试综合服务部,华北油田测试公司南疆分公司测试综合,住宿、日用百货、汽车配件、五金交电、建材、石油专用测试配件、测试服务,未知,,,在业,,,,,天然原油和天然气开采,
巴州捷安油田商贸有限责任公司, 汽车配件、石油设备及配件、润滑油、五金交电,库尔勒市天山路 - ,50(万元) (万元),欢迎来到巴州捷安油田商贸有限责任公司，自2000年04月26日成立以来，已经发展成为一个拥有4员工的大家庭。我们坐落于巴音郭楞这个充满活力和机遇的城市。华夏第一州巴音郭楞作为我们的总部所在地，我们的公司定位于天然原油和天然气开采，汽车配件、石油设备及配件、润滑油、五金交电是我们的强项 。,,,,,,,,,,,,,,,,,,,
巴州捷安油田商贸以50(万元)注册资本为基础，凭借着法人代表的领导力，成功走过24年的发展历程。,(0996)2079247 未核实，仅供参考,,,,让卖家联系我,841000,巴州捷安油田商贸有限责任公司,巴州捷安油田商贸,汽车配件、石油设备及配件、润滑油、五金交电,未知,,,在业,,2000年4月26日,4人,,天然原油和天然气开采,,,,,
巴州中南石油油田工程建设有限公司, 化工石油石油化工装置的设备管道安装维修维护等相关业务,轮台县南疆路运输管理站院内 - ,526(万元) (万元),巴州中南石油油田工程建设有限公司，办公室地址位于华夏第一州巴音郭楞，轮台县南疆路运输管理站院内，我公司主要提供化工石油石油化工装置的设备管道安装维修维护等相关业务,(0996)4692990 未核实，仅供参考,,,,让卖家联系我,841600,巴州中南石油油田工程建设有限公司,巴州中南石油油田工程建设,化工石油石油化工装置的设备管道安装维修维护等相关业务,未知,,,在业,,2001年9月6日,33人,,天然原油和天然气开采,
大庆油田建设集团有限责任公司新疆分公司, 石油天然气工程施工。＊＊＊,新疆巴州库尔勒市建设路辖区塔指东路成功商厦2号楼2幢5层,1500(万元) (万元),大庆油田建设集团有限责任公司新疆分公司，办公室地址位于华夏第一州巴音郭楞，新疆巴州库尔勒市建设路辖区塔指东路成功商厦2号楼2幢5层，我公司主要提供化工石油工程施工总承包特级，市政公用工程施工总承包壹级，钢结构工程专业承包壹级，送变电工程专业承包壹级，管道工程专业承包壹级，混凝土预制构件专业承包贰级，防腐保温工程专业承包壹级，预拌商品混凝土专业承包贰级，地基与基础工程专业承包贰级，建筑装饰业，建筑防水工程专业承包叁级，土石方工程专业承包贰级，...,0996-6787668 未核实，仅供参考,,,dqyj-0996@163.com,让卖家联系我,841000,大庆油田建设集团有限责任公司新疆分公司,油田建设集团,石油天然气工程施工。＊＊＊,化工石油工程施工总承包特级，市政公用工程施工总承包壹级，钢结构工程专业承包壹级，送变电工程专业承包壹级，管道工程专业承包壹级，混凝土预制构件专业承包贰级，防腐保温工程专业承包壹级，预拌商品混凝土专业承包贰级，地基与基础工程专业承包贰级，建筑装饰业，建筑防水工程专业承包叁级，土石方工程专业承包贰级，...,6.53E+14,库尔勒市市场监督管理局,存续,,2000年5月16日,117人,,天然原油和天然气开采,公司
中国石油天然气股份有限公司塔里木油田分公司, 石油、天然气勘察、生产、销售、炼油、石油化工产品的生产、销售,新疆巴州库尔勒市石化大道 - ,成立时间：2000-01-01,中国石油天然气股份有限公司塔里木油田分公司，办公室地址位于华夏第一州巴音郭楞，新疆巴州库尔勒市石化大道，我公司主要提供石油、天然气勘查、生产、销售，炼油，化肥生产销售；生产：汽油、柴油、液化石油气、液氨、液氧、天然气、原油、凝析油、稳定轻烃、硫磺；石油化工产品的生产、销售。石油天然气管道运营。,0996-2176021 未核实，仅供参考,,,mjb-tlm@petrochina.com.cn,让卖家联系我,841001,中国石油天然气股份有限公司塔里木油田分公司,中国石油天然气,石油、天然气勘察、生产、销售、炼油、石油化工产品的生产、销售,石油、天然气勘查、生产、销售，炼油，化肥生产销售；生产：汽油、柴油、液化石油气、液氨、液氧、天然气、原油、凝析油、稳定轻烃、硫磺；石油化工产品的生产、销售。石油天然气管道运营。,6.53E+14,巴音郭楞蒙古自治州市场监督管理局,存续,,2000年1月1日,10061人,,天然原油和天然气开采,公司
中国石化胜利油田有限公司巴州井下项目部, 井下作业、油水井测试、分析、维修、技术服务,石化大道丰源小区 - ,成立时间：2002-05-10,中国石化胜利油田有限公司巴州井下项目部，办公室地址位于华夏第一州巴音郭楞，石化大道丰源小区，我公司主要提供井下作业、油水井测试、分析、维修、技术服务,,,,,让卖家联系我,841000,中国石化胜利油田有限公司巴州井下项目部,中国石化胜利油田,井下作业、油水井测试、分析、维修、技术服务,未知,,,在业,,2002年5月10日,30人,,天然原油和天然气开采,
新疆巴州华宇油田技术服务有限公司, 石油钻采设备及维修，炊事用具通用零部件加工,交通东路 - ,200(万元) (万元),新疆巴州华宇油田技术服务有限公司，办公室地址位于华夏第一州巴音郭楞，交通东路，我公司主要提供石油钻采设备及维修，炊事用具通用零部件加工,(0996)2217666 未核实，仅供参考,,,,让卖家联系我,841000,新疆巴州华宇油田技术服务有限公司,巴州华宇油田技术服务,石油钻采设备及维修，炊事用具通用零部件加工,未知,,,在业,,1999年7月29日,7人,,天然原油和天然气开采,
中国石油天然气运输公司巴州油田综合服务分公司, 普通机械加工、制造，柴油发电机组的租赁，维修、安装、销售、汽车修理。＊＊＊,天山西路老３１４国道４７０公里处,60(万元) (万元),中国石油天然气运输公司巴州油田综合服务分公司，办公室地址位于华夏第一州巴音郭楞，天山西路老３１４国道４７０公里处，我公司主要提供普通机械加工、制造，柴油发电机组的租赁，维修、安装、销售、汽车修理。＊＊＊,(0996)2062219 未核实，仅供参考,,,,让卖家联系我,841000,中国石油天然气运输公司巴州油田综合服务分公司,中国石油天然气运输公司巴州油田综合服务分公司,普通机械加工、制造，柴油发电机组的租赁，维修、安装、销售、汽车修理。＊＊＊,未知,,,在业,,2003年4月28日,16人,,天然原油和天然气开采,
中原油田轮台管具工程处, 钻井工程石油技术服务,地址： 红桥经济开发区,3000(万元) (万元),中原油田轮台管具工程处，办公室地址位于华夏第一州巴音郭楞，红桥经济开发区，我单位主要提供钻井工程石油技术服务,(0996)4695608 未核实，仅供参考,,,,让卖家联系我,841600,中原油田轮台管具工程处,中原油田轮台管具工程处,钻井工程石油技术服务,未知,,,在业,,,16人,,天然原油和天然气开采,
中原油田轮台固井工程处, 固井服务石油技术服务,地址： 红桥经济开发区,2160(万元) (万元),中原油田轮台固井工程处，办公室地址位于华夏第一州巴音郭楞，红桥经济开发区，我单位主要提供固井服务石油技术服务,,,,,让卖家联系我,841600,中原油田轮台固井工程处,中原油田轮台固井工程处,固井服务石油技术服务,未知,,,在业,,2002年8月26日,18人,,天然原油和天然气开采,
新疆塔里木油田化玻仪器仪表总公司, 玻璃仪器、化学试剂、诊断试剂、医疗器械、汽车配件、仪器仪表、石油化工产品、塑料制,交通东路 - ,,新疆塔里木油田化玻仪器仪表总公司，办公室地址位于华夏第一州巴音郭楞，交通东路，我公司主要提供玻璃仪器、化学试剂、诊断试剂、医疗器械、汽车配件、仪器仪表、石油化工产品、塑料制,(0996)2025667 未核实，仅供参考,,,,让卖家联系我,841000,新疆塔里木油田化玻仪器仪表总公司,塔里木油田化玻仪器仪表总公司,玻璃仪器、化学试剂、诊断试剂、医疗器械、汽车配件、仪器仪表、石油化工产品、塑料制,未知,,,在业,,,,,天然原油和天然气开采,
新疆油田库尔勒石油物资供应站, 石油钻采设备、工具及配件、石油制品、建筑材料、五金交电化工、电器机械、金属材料、,地址： 天山西路,,新疆油田库尔勒石油物资供应站，办公室地址位于华夏第一州巴音郭楞，天山西路，我单位主要提供石油钻采设备、工具及配件、石油制品、建筑材料、五金交电化工、电器机械、金属材料、,(0996)2025754 未核实，仅供参考,,,,让卖家联系我,841000,新疆油田库尔勒石油物资供应站,油田库尔勒石油物资供应站,石油钻采设备、工具及配件、石油制品、建筑材料、五金交电化工、电器机械、金属材料、,未知,,,在业,,,,,天然原油和天然气开采,
库尔勒华孚油田化学有限责任公司, 油田化学助剂、（危险品除外）及石油工具配件,金冠小区８号楼４０２室 - ,50(万元) (万元),库尔勒华孚油田化学有限责任公司，办公室地址位于华夏第一州巴音郭楞，金冠小区８号楼４０２室，我公司主要提供油田化学助剂、及石油工具配件,(0996)2095316 未核实，仅供参考,,,,让卖家联系我,841000,库尔勒华孚油田化学有限责任公司,库尔勒华孚油田化学,油田化学助剂、（危险品除外）及石油工具配件,未知,,,在业,,2000年9月6日,5人,,天然原油和天然气开采,
巴州亚航油田技术有限责任公司, 生产、销售：油田化学助剂。销售：泥浆材料、石油钻采设备及配件、油田技术服务,石化大道经济技术开发区 - ,150(万元) (万元),巴州亚航油田技术有限责任公司，办公室地址位于华夏第一州巴音郭楞，石化大道经济技术开发区，我公司主要提供生产、销售：油田化学助剂。销售：泥浆材料、石油钻采设备及配件、油田技术服务,(0996)2036617 未核实，仅供参考,,,,让卖家联系我,841000,巴州亚航油田技术有限责任公司,巴州亚航油田技术,生产、销售：油田化学助剂。销售：泥浆材料、石油钻采设备及配件、油田技术服务,未知,,,在业,,2002年4月2日,6人,,天然原油和天然气开采,
兰州石油机械研究所油田设备中试厂库尔勒塔里木电器检测维修站, 石油钻采、电器设备的检测、维修、机械加工,地址： 西站大二线储运公司院内,25(万元) (万元),兰州石油机械研究所油田设备中试厂库尔勒塔里木电器检测维修站，办公室地址位于华夏第一州巴音郭楞，西站大二线储运公司院内，我工厂主要提供石油钻采、电器设备的检测、维修、机械加工,(0996)2060050 未核实，仅供参考,,,,让卖家联系我,841000,兰州石油机械研究所油田设备中试厂库尔勒塔里木电器检测维修站,石油机械研究所油田设备中试,石油钻采、电器设备的检测、维修、机械加工,未知,,,在业,,1998年5月1日,30人,,天然原油和天然气开采,
轮台县中建油田技术服务有限公司, 完井工程作业技术服务、采油设备日常维护、保养、钻前钻后工程服务、环抱治理服务、石油专用工具、配件的加...,新疆维吾尔自治区巴音郭楞蒙古自治州轮台县红桥工业园区,成立时间：2004-06-15,轮台县中建油田技术服务有限公司，办公室地址位于华夏第一州巴音郭楞，新疆维吾尔自治区巴音郭楞蒙古自治州轮台县红桥工业园区，我公司主要提供完井工程作业技术服务、采油设备日常维护、保养、钻前钻后工程服务、环抱治理服务、石油专用工具、配件的加工＊＊＊,(0996)4698748 未核实，仅供参考,,,,让卖家联系我,841600,轮台县中建油田技术服务有限公司,中建油田技术服务,完井工程作业技术服务、采油设备日常维护、保养、钻前钻后工程服务、环抱治理服务、石油专用工具、配件的加工＊＊＊,未知,,,在业,,2004年6月15日,5人,,天然原油和天然气开采,
胜利油田华滨饮用品有限责任公司, 纯净水、矿泉水、饮料生产销售,滨南采油厂大院 - ,54(万元) (万元),胜利油田华滨饮用品有限责任公司，办公室地址位于山东的北大门滨州，滨南采油厂大院，我公司主要提供纯净水、矿泉水、饮料生产销售,(0543)3462001 未核实，仅供参考,,,,让卖家联系我,256606,胜利油田华滨饮用品有限责任公司,胜利油田华滨饮用品,纯净水、矿泉水、饮料生产销售,未知,,,在业,,2001年5月14日,16人,,天然原油和天然气开采,
胜利油田滨工福利公司梦丽雅美容厅, 美容，理发,滨州市滨南采油厂大院 - ,,胜利油田滨工福利公司梦丽雅美容厅，办公室地址位于山东的北大门滨州，滨州市滨南采油厂大院，我公司主要提供美容，理发,(0543) 未核实，仅供参考,,,,让卖家联系我,256600,胜利油田滨工福利公司梦丽雅美容厅,胜利油田滨工福利公司梦丽雅美容厅,美容，理发,未知,,,在业,,,,,天然原油和天然气开采,
胜利油田无棣石油开发有限责任公司, 石油，天然气，开发，油气，加工，钻采设备，技术服务,常家乡驻地 - ,,胜利油田无棣石油开发有限责任公司，办公室地址位于山东的北大门滨州，常家乡驻地，我公司主要提供石油，天然气，开发，油气，加工，钻采设备，技术服务,(0543) 未核实，仅供参考,,,,让卖家联系我,251905,胜利油田无棣石油开发有限责任公司,胜利油田无棣石油开发,石油，天然气，开发，油气，加工，钻采设备，技术服务,未知,,,在业,,,,,天然原油和天然气开采,
胜利油田华鑫石油材料有限公司利洁分公司, 石油化工,滨州市黄河六路５３１号 - ,30(万元) (万元),胜利油田华鑫石油材料有限公司利洁分公司，办公室地址位于山东的北大门滨州，滨州市黄河六路５３１号，我公司主要提供石油化工,(0543)3464581 未核实，仅供参考,,,,让卖家联系我,256606,胜利油田华鑫石油材料有限公司利洁分公司,胜利油田华鑫石油材料,石油化工,未知,,,在业,,1999年4月13日,12人,,天然原油和天然气开采,
